-50;-205;1682
-49;-184;1173
-48;-171;1529
-47;-197;1582
-46;-221;959
-45;-210;1545
-44;-179;1114
-43;-184;1251
-42;-178;1351
-41;-164;1265
-40;-199;1128
-39;-121;992
-38;-161;1007
-37;-191;678
-36;-162;867
-35;-130;791
-34;-135;832
-33;-129;426
-32;-124;509
-31;-120;1012
-30;-143;717
-29;-97;329
-28;-105;523
-27;-90;535
-26;-87;471
-25;-110;371
-24;-110;339
-23;-106;263
-22;-39;599
-21;-84;260
-20;-151;467
-19;-86;279
-18;-101;112
-17;-21;-66
-16;-59;345
-15;-72;435
-14;-80;336
-13;-31;278
-12;-86;-11
-11;-1;-212
-10;-52;566
-9;-24;250
-8;-48;-132
-7;-58;-213
-6;-12;681
-5;-6;240
-4;-10;214
-3;7;63
-2;-36;-188
-1;23;312
0;7;-247
1;2;-51
2;-7;0
3;-2;-199
4;8;-186
5;-47;94
6;56;-189
7;15;10
8;10;453
9;67;136
10;4;-123
11;33;-142
12;8;-173
13;35;455
14;62;-7
15;38;155
16;103;181
17;112;409
18;63;-142
19;100;405
20;57;195
21;98;288
22;42;264
23;100;214
24;97;179
25;88;178
26;84;340
27;135;226
28;126;204
29;77;237
30;143;536
31;123;146
32;144;431
33;80;-99
34;114;835
35;75;354
36;114;357
37;122;720
38;118;744
39;153;521
40;157;920
41;161;606
42;154;547
43;171;634
44;222;977
45;145;1031
46;131;791
47;178;1222
48;182;1074
49;185;1428
